1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36-192,1985,22,22,1935,21.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.03,0.00,0.03,0.03,0.03,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,32-117,1989,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.11,0.16,0.05,0.16,Matches
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,28-197,1993,10,6,470,5.2,0,2,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,1.6,1.6,1.6,3.1,0.30,0.30,0.60,0.30,0.60,Matches
Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30-338,1991,16,10,920,10.2,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,1.5,1.5,1.4,2.9,0.15,0.13,0.29,0.15,0.29,Matches
Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30-318,1991,7,6,570,6.3,2,0,2,0,0,3,0,0.32,0.00,0.32,0.32,0.32,0.6,0.6,0.4,0.9,0.09,0.06,0.15,0.09,0.15,Matches
Omar Alderete,py PAR,DF,Valencia,es La Liga,25-079,1996,22,21,1796,20.0,2,0,2,0,0,11,0,0.10,0.00,0.10,0.10,0.10,0.8,0.8,0.2,1.0,0.04,0.01,0.05,0.04,0.05,Matches
Iván Alejo,es ESP,MF,Cádiz,es La Liga,27-033,1995,12,5,569,6.3,1,2,1,0,0,5,0,0.16,0.32,0.47,0.16,0.47,0.3,0.3,1.1,1.4,0.04,0.18,0.22,0.04,0.22,Matches
Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19-137,2002,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carles Aleñá,es ESP,MF,Getafe,es La Liga,24-069,1998,24,24,1885,20.9,1,2,1,0,0,6,1,0.05,0.10,0.14,0.05,0.14,1.4,1.4,1.5,2.9,0.07,0.07,0.14,0.07,0.14,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23-159,1998,25,25,2223,24.7,2,11,2,0,0,1,0,0.08,0.45,0.53,0.08,0.53,2.3,2.3,9.3,11.6,0.09,0.38,0.47,0.09,0.47,Matches
Mircea Alexandru Tirlea,ro ROU,DF,Alavés,es La Liga,21-352,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,18-055,2004,23,17,1420,15.8,2,0,2,0,0,4,1,0.13,0.00,0.13,0.13,0.13,5.0,5.0,1.3,6.4,0.32,0.08,0.40,0.32,0.40,Matches
Alisson,br BRA,GK,Liverpool,eng Premier League,29-164,1992,26,26,2340,26.0,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
Allan,br BRA,MF,Everton,eng Premier League,31-066,1991,22,21,1852,20.6,0,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.8,1.0,0.01,0.04,0.05,0.01,0.05,Matches
