1_Player,3_Pos,4_Squad,6_Age,Performance_Gls,Performance_Ast
Nico Ribaudo,"MF,FW",Espanyol,20-338,1,0
Tiago Ribeiro,FW,Monaco,20-001,0,0
Franck Ribéry,"MF,FW",Salernitana,38-342,0,2
Samuele Ricci,MF,Torino,20-206,1,1
Declan Rice,MF,West Ham,23-060,1,4
Chris Richards,DF,Hoffenheim,21-352,1,1
Omar Richards,DF,Bayern Munich,24-028,0,0
Taylor Richards,"MF,FW",Brighton,21-101,0,0
Richarlison,"FW,MF",Everton,24-309,4,3
Marco Richter,"FW,MF",Hertha BSC,24-111,5,0
Diego Rico,DF,Real Sociedad,29-020,0,0
Sergio Rico,GK,Mallorca,28-195,0,0
Jaïro Riedewald,MF,Crystal Palace,25-187,0,0
Manuel Riemann,GK,Bochum,33-187,0,0
Tomás Rincón,"MF,FW",Torino,34-061,0,0
Luis Rioja,"MF,FW",Alavés,28-150,1,2
Renaud Ripart,"FW,DF",Troyes,29-001,1,1
Mihailo Ristić,DF,Montpellier,26-135,1,2
Matt Ritchie,DF,Newcastle Utd,32-186,0,2
Maxence Rivera,FW,Saint-Étienne,19-289,0,0
Rober,DF,Levante,27-027,1,0
Sergi Roberto,"MF,DF",Barcelona,30-036,2,1
Connor Roberts,DF,Burnley,26-173,0,1
Patrick Roberts,DF,Troyes,25-038,0,0
Tyler Roberts,"MF,FW",Leeds United,23-062,1,1
Andrew Robertson,DF,Liverpool,28-004,1,9
Marc Roca,MF,Bayern Munich,25-109,0,0
Rubén Rochina,"MF,FW",Granada,30-357,1,3
Cimo Röcker,DF,Hertha BSC,28-053,0,0
Enzo Roco,DF,Elche,29-211,1,0
Stian Rode Gregersen,DF,Bordeaux,26-302,1,1
Sebastian Rode,MF,Eint Frankfurt,31-155,1,0
Joe Rodon,DF,Tottenham,24-144,0,0
Rodri,MF,Manchester City,25-266,3,1
Rodrigo,FW,Betis,21-303,5,2
Gerson Rodrigues,FW,Troyes,26-268,1,1
Kévin Rodrigues,"DF,FW",Rayo Vallecano,28-010,0,0
Óscar Rodríguez Arnaiz,"MF,FW",Getafe,23-260,0,0
Ángel Rodríguez,"FW,MF",Mallorca,34-323,2,2
Dani Rodríguez,"FW,MF",Mallorca,33-282,3,2
Guido Rodríguez,MF,Betis,27-337,1,2
Jay Rodriguez,FW,Burnley,32-229,1,2
Ricardo Rodríguez,DF,Torino,29-202,0,0
Rodrygo,FW,Real Madrid,21-065,0,1
Mads Roerslev,DF,Brentford,22-264,1,1
Rogério,DF,Sassuolo,24-061,0,1
Alessio Romagnoli,DF,Milan,27-062,1,0
Simone Romagnoli,DF,Empoli,32-034,2,0
Leonardo Román,GK,Mallorca,21-252,0,0
Cristian Romero,DF,Tottenham,23-322,0,0
Iván Romero,FW,Sevilla,20-339,0,0
Luka Romero,FW,Lazio,17-117,0,0
Sergio Romero,GK,Venezia,35-021,0,0
Oriol Romeu,MF,Southampton,30-172,1,1
Cristiano Ronaldo,FW,Manchester Utd,37-038,12,3
Salomón Rondón,FW,Everton,32-180,1,0
Valentin Rongier,"MF,DF",Marseille,27-098,0,1
Marten de Roon,"MF,DF",Atalanta,30-351,1,0
Pablo Rosario,MF,Nice,25-067,0,2
Romario Rösch,MF,Mainz 05,22-257,0,0
Danny Rose,DF,Watford,31-256,0,0
Francesco Rossi,GK,Atalanta,30-322,0,0
Jérôme Roussillon,DF,Wolfsburg,29-068,1,0
Nicolò Rovella,MF,Genoa,20-101,0,3
Jon Rowe,"FW,MF",Norwich City,18-319,0,1
Amir Rrahmani,DF,Napoli,28-019,3,0
Ruan,DF,Sassuolo,22-281,0,0
Rubén,DF,Espanyol,21-039,0,0
Antonio Rüdiger,DF,Chelsea,29-012,2,0
Sebastian Rudy,MF,Hoffenheim,32-015,2,1
Daniele Rugani,DF,Juventus,27-229,0,0
Matteo Ruggeri,DF,Salernitana,19-247,0,0
Mário Rui,DF,Napoli,30-292,0,3
Aitor Ruibal,"FW,DF",Betis,25-358,0,0
Fabián Ruiz Peña,MF,Napoli,25-346,6,2
Isma Ruiz,MF,Granada,21-029,0,0
Víctor Ruiz,DF,Betis,33-049,0,0
Gerónimo Rulli,GK,Villarreal,29-299,0,0
Lukas Rupp,MF,Norwich City,31-066,0,0
Alessandro Russo,MF,Salernitana,18-190,0,0
Franco Russo,DF,Mallorca,27-141,1,0
Georginio Rutter,"FW,MF",Hoffenheim,19-329,6,2
Mathew Ryan,GK,Real Sociedad,29-341,0,0
Julian Ryerson,DF,Union Berlin,24-118,2,0
Frederik Rønnow,GK,Union Berlin,29-223,0,0
José Sá,GK,Wolves,29-057,0,1
Roli Pereira de Sa,MF,Nantes,25-095,0,0
Youssouf Sabaly,DF,Betis,29-010,0,1
Mathys Saban,"FW,MF",Saint-Étienne,19-304,0,0
Stefano Sabelli,DF,Genoa,29-061,0,0
Abdelhamid Sabiri,"MF,FW",Sampdoria,25-107,1,0
Marcel Sabitzer,"MF,DF",Bayern Munich,27-363,0,0
Falaye Sacko,DF,Saint-Étienne,26-318,0,0
Alexis Saelemaekers,FW,Milan,22-261,1,3
Rafiki Said Ahamada,"MF,FW",Brest,22-000,0,0
Wesley Saïd,"FW,MF",Lens,26-330,5,0
Allan Saint-Maximin,"FW,MF",Newcastle Utd,25-003,5,3
Romain Saïss,DF,Wolves,31-354,2,0
Bukayo Saka,"FW,MF",Arsenal,20-191,8,5
Mamadou Sakho,DF,Montpellier,32-030,0,0
Bakary Sako,"FW,MF",Saint-Étienne,33-323,0,0
Jacopo Sala,MF,Spezia,30-100,1,0
Mohamed Salah,FW,Liverpool,29-273,20,10
Eddie Salcedo,"MF,FW",Spezia,20-165,0,0
William Saliba,DF,Marseille,20-356,0,0
Romain Salin,GK,Rennes,37-229,0,0
Mohammed Salisu,DF,Southampton,22-332,0,0
Roland Sallai,"MF,FW",Freiburg,24-297,1,2
Yoann Salmier,DF,Troyes,29-114,0,1
Salvi,MF,Cádiz,30-350,2,1
Lazar Samardzic,"MF,FW",Udinese,20-019,1,1
Diadie Samassékou,MF,Hoffenheim,26-063,2,0
Mama Samba Baldé,"FW,MF",Troyes,26-129,3,1
Albert Sambi Lokonga,MF,Arsenal,22-144,0,0
Junior Sambia,"DF,FW",Montpellier,25-189,1,0
Luigi Samele,FW,Sassuolo,19-340,0,0
Fede San Emeterio,MF,Cádiz,24-364,0,0
Antonio Sanabria,FW,Torino,26-011,5,1
Oihan Sancet,FW,Athletic Club,21-324,6,4
Renato Sanches,MF,Lille,24-209,1,5
Alexis Sánchez,FW,Inter,33-086,3,2
Antonio Sánchez,"MF,FW",Mallorca,25-073,1,0
Davinson Sánchez,DF,Tottenham,25-276,2,0
Germán Sánchez,DF,Granada,35-135,2,0
Juan Sánchez,MF,Sevilla,18-212,0,0
Manuel Sánchez,DF,Osasuna,21-203,1,2
Robert Sánchez,GK,Brighton,24-117,0,0
Jadon Sancho,"FW,MF",Manchester Utd,21-355,3,3
Philippe Sandler,DF,Troyes,25-033,0,0
Alex Sandro,DF,Juventus,31-048,0,0
Leroy Sané,"FW,MF",Bayern Munich,26-063,7,7
Oier Sanjurjo,MF,Osasuna,35-294,0,0
Mohamed Sankoh,FW,Stuttgart,18-150,0,0
Morgan Sanson,MF,Aston Villa,27-209,0,0
Nicola Sansone,"FW,MF",Bologna,30-186,0,3
Baptiste Santamaria,MF,Freiburg,27-006,2,1
Federico Santander,"FW,DF",Bologna,30-284,1,0
Samir Santos,DF,Udinese,27-100,0,0
Sergio Santos,DF,Real Madrid,21-071,0,0
Alvaro Sanz,MF,Barcelona,21-029,0,0
Riccardo Saponara,FW,Fiorentina,30-084,2,3
Pablo Sarabia,FW,Paris S-G,29-308,1,0
Josh Sargent,"FW,MF",Norwich City,22-023,2,1
Jeremy Sarmiento,FW,Brighton,19-272,0,0
Bouna Sarr,DF,Bayern Munich,30-043,0,0
Ismaila Sarr,"FW,MF",Watford,24-018,5,1
Malang Sarr,DF,Chelsea,23-051,0,0
Joan Sastre Vanrell,DF,Mallorca,24-319,0,0
Martin Satriano,"FW,MF",Inter,21-023,3,0
Téji Savanier,MF,Montpellier,30-083,6,6
Esteban Saveljich,DF,Rayo Vallecano,30-299,0,0
Stefan Savić,DF,Atlético Madrid,31-066,0,0
Joseph Scally,DF,M'Gladbach,19-074,1,2
Giorgio Scalvini,"DF,MF",Atalanta,18-094,0,0
Gianluca Scamacca,FW,Sassuolo,23-073,12,0
Dane Scarlett,MF,Tottenham,17-356,0,0
Kevin Schade,"FW,MF",Freiburg,20-108,4,1
András Schäfer,MF,Union Berlin,22-336,0,0
Fabian Schär,DF,Newcastle Utd,30-085,1,2
Louis Schaub,MF,Köln,27-076,1,2
Andrea Schiavone,MF,Salernitana,29-020,1,0
Patrik Schick,FW,Leverkusen,26-050,20,1
Kingsley Schindler,"DF,MF",Köln,28-246,1,2
Xaver Schlager,MF,Wolfsburg,24-168,0,1
Keven Schlotterbeck,DF,Freiburg,24-321,0,0
Nico Schlotterbeck,DF,Freiburg,22-104,4,0
Jeffrey Schlupp,"MF,FW",Crystal Palace,29-082,3,1
Kasper Schmeichel,GK,Leicester City,35-130,0,0
Jonathan Schmid,DF,Freiburg,31-262,0,0
Benno Schmitz,DF,Köln,27-118,0,4
David Schnegg,DF,Venezia,23-167,0,0
Morgan Schneiderlin,MF,Nice,32-127,0,1
Alessandro Schöpf,MF,Arminia,28-036,1,0
Jerdy Schouten,MF,Bologna,25-062,0,1
Nico Schulz,DF,Dortmund,28-348,0,1
Marvin Schwäbe,GK,Köln,26-324,0,0
Alexander Schwolow,GK,Hertha BSC,29-286,0,0
Valentino Scotta,DF,Sevilla,20-217,0,0
Demba Seck,MF,Torino,21-033,0,0
Aleksandar Sedlar,"DF,MF",Mallorca,30-092,0,0
Paul Seguin,MF,Greuther Fürth,26-351,0,3
Alidu Seidu,"DF,FW",Clermont Foot,21-284,0,0
Davie Selke,FW,Hertha BSC,27-054,2,0
Matz Sels,GK,Strasbourg,30-017,0,0
Ken Sema,"MF,FW",Watford,28-166,0,0
Nélson Semedo,DF,Wolves,28-119,0,1
Stefano Sensi,"MF,FW",Sampdoria,26-222,1,0
Luigi Sepe,GK,Salernitana,30-311,0,0
Suat Serdar,"MF,FW",Hertha BSC,24-338,2,0
Laurens Serpe,DF,Genoa,21-036,0,0
Janni Serra,FW,Arminia,24-002,2,1
Javier Serrano,MF,Atlético Madrid,19-058,0,0
Nicolás Serrano,MF,Athletic Club,19-010,1,0
Zidan Sertdemir,"MF,FW",Leverkusen,17-039,0,0
Ryan Sessegnon,"DF,MF",Tottenham,21-301,0,1
Nils Seufert,MF,Greuther Fürth,25-040,0,0
Salva Sevilla,MF,Mallorca,37-362,4,2
Stephan El Shaarawy,"DF,FW",Roma,29-139,2,0
Jamie Shackleton,"DF,MF",Leeds United,22-158,0,0
Xherdan Shaqiri,"FW,MF",Lyon,30-156,2,3
Luke Shaw,DF,Manchester Utd,26-246,0,3
Jonjo Shelvey,MF,Newcastle Utd,30-016,2,1
Aimar Sher,MF,Spezia,19-085,0,0
Eldor Shomurodov,FW,Roma,26-259,2,3
Mahame Siby,"MF,DF",Strasbourg,25-251,0,0
Aboubakar Sidibé,FW,Clermont Foot,25-316,0,0
Alassane Sidibe,FW,Atalanta,19-279,0,0
Djibril Sidibé,DF,Monaco,29-229,0,0
Kaj Sierhuis,FW,Reims,23-322,0,0
Francisco Sierralta,DF,Watford,24-313,0,0
Arnór Sigurðsson,"MF,FW",Venezia,22-304,0,0
Kiliann Sildillia,DF,Freiburg,19-303,0,0
Adrien Silva,MF,Sampdoria,33-000,0,1
André Silva,FW,RB Leipzig,26-129,10,2
Bernardo Silva,"MF,FW",Manchester City,27-217,7,2
Caio Henrique Oliveira Silva,DF,Monaco,24-227,1,5
David Silva,MF,Real Sociedad,36-066,1,1
Fábio Silva,"FW,MF",Wolves,19-239,0,0
Gabriel Silva,DF,Saint-Étienne,30-306,0,0
Jonathan Silva,"DF,MF",Getafe,27-259,0,0
Rui Silva,GK,Betis,28-036,0,0
Thiago Silva,DF,Chelsea,37-174,3,0
Marco Silvestri,GK,Udinese,31-013,0,0
Mohamed Simakan,DF,RB Leipzig,21-316,1,0
Giovanni Simeone,FW,Hellas Verona,26-253,15,2
Ellis Simms,FW,Everton,21-069,0,0
Moses Simon,"FW,MF",Nantes,26-246,3,7
Unai Simón,GK,Athletic Club,24-277,0,0
Xavi Simons,"FW,MF",Paris S-G,18-328,0,0
Wilfried Singo,DF,Torino,21-080,3,3
Daley Sinkgraven,DF,Leverkusen,26-254,0,0
Salvatore Sirigu,GK,Genoa,35-062,0,0
Issouf Sissokho,MF,Bordeaux,20-044,0,0
Ibrahima Sissoko,"MF,DF",Strasbourg,24-139,1,5
Moussa Sissoko,MF,Watford,32-211,2,1
Nelson Sissoko,DF,Saint-Étienne,25-008,0,0
Sambou Sissoko,"MF,DF",Reims,22-322,0,0
Antonio Sivera,GK,Alavés,25-216,0,0
Ellyes Skhiri,MF,Köln,26-309,3,1
Oliver Skipp,MF,Tottenham,21-180,0,0
Leo Skiri Østigård,DF,Genoa,22-107,0,0
Łukasz Skorupski,GK,Bologna,30-314,0,0
Andreas Skov Olsen,"DF,FW",Bologna,22-076,0,1
Robert Skov,"DF,FW",Hoffenheim,25-299,0,0
Milan Škriniar,DF,Inter,27-032,3,0
Islam Slimani,FW,Lyon,33-270,1,1
William Smallbone,"MF,FW",Southampton,22-022,0,0
Chris Smalling,DF,Roma,32-113,2,0
Emile Smith Rowe,"MF,FW",Arsenal,21-230,9,2
Cédric Soares,DF,Arsenal,30-196,0,0
Danilo Soares,DF,Bochum,30-137,0,0
Rubén Sobrino,MF,Valencia,29-287,0,1
Alex Sola,"DF,FW",Real Sociedad,22-279,0,0
Augusto Solari,"MF,DF",Celta Vigo,30-071,0,0
Roberto Soldado,FW,Levante,36-292,1,1
Carlos Soler,MF,Valencia,25-072,9,4
Yann Sommer,GK,M'Gladbach,33-088,0,1
Son,DF,Levante,27-350,1,0
Brandon Soppy,"DF,MF",Udinese,20-022,0,0
David Soria,GK,Getafe,28-345,0,0
Roberto Soriano,"MF,FW",Bologna,31-035,0,2
Alberto Soro,"MF,FW",Granada,23-006,0,0
Borna Sosa,DF,Stuttgart,24-053,1,6
Hugo Sotelo,MF,Celta Vigo,18-086,0,0
Florian Sotoca,"FW,MF",Lens,31-141,4,4
Riccardo Sottil,FW,Fiorentina,22-285,3,2
Tomáš Souček,MF,West Ham,27-016,4,1
Matìas Soulé,FW,Juventus,18-334,0,0
Sambou Soumano,FW,Lorient,21-071,3,0
Adama Soumaoro,DF,Bologna,29-270,0,0
Boubakary Soumaré,MF,Leicester City,23-016,0,1
Arnaud Souquet,DF,Montpellier,30-031,0,2
Djibril Sow,MF,Eint Frankfurt,25-037,2,3
Saidou Sow,DF,Saint-Étienne,19-254,2,1
Çağlar Söyüncü,DF,Leicester City,25-296,1,0
Marco Sportiello,GK,Atalanta,29-309,0,0
Jerry St. Juste,DF,Mainz 05,25-147,1,0
Anton Stach,MF,Mainz 05,23-120,1,3
Kostas Stafylidis,DF,Bochum,28-103,0,1
Luca Stanga,DF,Milan,20-051,0,0
Josip Stanišić,DF,Bayern Munich,21-347,0,0
Niklas Stark,DF,Hertha BSC,26-335,0,0
Jason Steele,GK,Brighton,31-209,0,0
Jed Steer,GK,Aston Villa,29-173,0,0
Renato Steffen,"FW,MF",Wolfsburg,30-132,0,1
Zack Steffen,GK,Manchester City,26-347,0,0
Calvin Stengs,MF,Nice,23-087,1,1
Pascal Stenzel,DF,Stuttgart,25-360,0,0
Dale Stephens,MF,Burnley,32-276,0,0
Jack Stephens,DF,Southampton,28-047,0,0
Raheem Sterling,FW,Manchester City,27-097,10,1
Finley Stevens,DF,Brentford,18-339,0,0
Angelo Stiller,MF,Hoffenheim,20-345,1,1
Lars Stindl,"MF,FW",M'Gladbach,33-201,2,4
Kevin Stöger,"MF,FW",Mainz 05,28-200,1,1
Petar Stojanović,DF,Empoli,26-159,1,1
John Stones,DF,Manchester City,27-291,1,0
Thomas Strakosha,GK,Lazio,26-361,0,0
Stefan Strandberg,DF,Salernitana,31-233,0,0
Dávid Strelec,"FW,MF",Spezia,20-345,1,0
Tobias Strobl,"MF,DF",Augsburg,31-307,0,0
Kevin Strootman,MF,Cagliari,32-030,0,0
Pascal Struijk,"DF,MF",Leeds United,22-216,0,0
Jens Stryger Larsen,DF,Udinese,31-022,0,1
Leo Štulac,MF,Empoli,27-170,1,2
Stefano Sturaro,MF,Genoa,29-006,0,0
Damián Suárez,"DF,MF",Getafe,33-322,0,3
Denis Suárez,MF,Celta Vigo,28-068,3,2
Luis Suárez,FW,Atlético Madrid,35-050,9,2
Mario Suárez,DF,Rayo Vallecano,35-019,0,0
Isaac Success,"FW,MF",Udinese,26-067,1,2
Niklas Süle,DF,Bayern Munich,26-193,1,2
Kamaldeen Sulemana,"MF,FW",Rennes,20-028,4,2
Crysencio Summerville,"MF,FW",Leeds United,20-136,0,0
Vladyslav Supriaha,FW,Sampdoria,22-028,0,0
Suso,FW,Sevilla,28-116,0,1
Bosko Sutalo,DF,Hellas Verona,22-073,0,0
Mattias Svanberg,MF,Bologna,23-069,3,2
Michael Svoboda,DF,Venezia,23-151,0,0
Abdoulaye Sylla,DF,Nantes,21-339,0,0
Mamadou Sylla,FW,Alavés,27-360,0,0
Ádám Szalai,FW,Mainz 05,34-096,1,0
Wojciech Szczęsny,GK,Juventus,31-331,0,0
Dominik Szoboszlai,"MF,FW",RB Leipzig,21-141,4,6
Jakob Sørensen,"DF,MF",Norwich City,24-012,0,0
Alexander Sørloth,FW,Real Sociedad,26-100,1,0
Tachi,DF,Alavés,24-186,0,0
Jonathan Tah,DF,Leverkusen,26-032,2,2
Waniss Taibi,"MF,DF",Angers,20-008,0,0
Flavien Tait,MF,Rennes,29-041,2,3
Adrien Tameze,"MF,DF",Hellas Verona,28-039,4,2
Japhet Tanganga,DF,Tottenham,22-349,0,0
Renato Tapia,MF,Celta Vigo,26-230,0,0
Edmond Tapsoba,DF,Leverkusen,23-041,1,0
Florian Tardieu,MF,Troyes,29-327,0,1
Matt Targett,DF,Aston Villa,26-178,1,1
Oussama Targhalline,FW,Marseille,19-299,0,0
James Tarkowski,DF,Burnley,29-116,1,2
Ciprian Tătărușanu,GK,Milan,36-034,0,0
Niklas Tauer,"MF,DF",Mainz 05,21-026,0,0
Nuno Tavares,DF,Arsenal,22-048,0,1
Charlie Taylor,DF,Burnley,28-178,0,1
Loum Tchaouna,"MF,FW",Rennes,18-188,0,0
Warren Tchimbembé,MF,Metz,23-328,0,0
Aurélien Tchouaméni,MF,Monaco,22-047,1,1
Mathys Tel,"FW,MF",Rennes,16-322,0,0
Jordan Tell,FW,Clermont Foot,24-278,1,1
Nathan Tella,"MF,FW",Southampton,22-253,0,0
Alex Telles,DF,Manchester Utd,29-090,0,2
Cristian Tello,"FW,MF",Betis,30-216,1,2
Nahuel Tenaglia,DF,Alavés,26-022,0,0
Marc-André ter Stegen,GK,Barcelona,29-319,0,0
Pietro Terracciano,GK,Fiorentina,32-007,0,0
Martin Terrier,"FW,MF",Rennes,25-011,14,0
Aleksa Terzić,DF,Fiorentina,22-210,0,1
Robert Tesche,MF,Bochum,34-292,0,0
Tanner Tessmann,MF,Venezia,20-172,0,0
Cedric Teuchert,"MF,FW",Union Berlin,25-060,0,0
Arthur Theate,DF,Bologna,21-294,2,1
Jan Thielmann,"MF,FW",Köln,19-293,1,2
Sada Thioub,MF,Angers,26-287,0,1
Luke Thomas,DF,Leicester City,20-278,0,1
Romain Thomas,DF,Angers,33-276,2,0
Adrien Thomasson,MF,Strasbourg,28-095,7,4
Erik Thommy,"FW,DF",Stuttgart,27-207,0,0
Dominic Thompson,DF,Brentford,21-232,0,0
Morten Thorsby,MF,Sampdoria,25-314,2,1
Thuler,DF,Montpellier,23-005,0,0
Marcus Thuram,"FW,MF",M'Gladbach,24-221,2,0
Khéphren Thuram-Ulie,MF,Nice,20-354,3,2
Alexis Tibidi,"FW,MF",Stuttgart,18-132,0,0
Cheikh Tidiane Sabaly,"FW,MF",Metz,23-011,0,0
Youri Tielemans,MF,Leicester City,24-312,6,2
Kieran Tierney,DF,Arsenal,24-283,1,3
Steffen Tigges,"FW,MF",Dortmund,23-227,3,0
Malik Tillman,"FW,MF",Bayern Munich,19-291,0,0
Timothy Tillman,MF,Greuther Fürth,23-070,1,2
David Timor,MF,Getafe,32-149,0,0
Jean-Clair Todibo,DF,Nice,22-075,1,0
Karl Toko Ekambi,FW,Lyon,29-182,7,3
Corentin Tolisso,MF,Bayern Munich,27-224,2,1
Jeremy Toljan,DF,Sassuolo,27-219,0,1
Rafael Tolói,DF,Atalanta,31-156,1,1
Raúl de Tomás,FW,Espanyol,27-149,13,3
Tiago Tomás,"FW,MF",Stuttgart,19-272,2,0
Takehiro Tomiyasu,DF,Arsenal,23-130,0,1
James Tomkins,DF,Crystal Palace,32-351,1,0
Fikayo Tomori,DF,Milan,24-086,0,0
Sandro Tonali,MF,Milan,21-311,2,2
Lorenzo Tonelli,DF,Empoli,32-057,0,0
Ivan Toney,FW,Brentford,25-364,11,2
Ernesto Torregrossa,FW,Sampdoria,29-260,0,0
Lucas Torreira,MF,Fiorentina,26-032,3,1
Raúl Torrente,DF,Granada,21-014,0,0
Ferrán Torres,FW,Barcelona,22-014,5,3
Óliver Torres,"MF,FW",Sevilla,27-125,2,1
Pau Torres,DF,Villarreal,25-058,4,0
Roberto Torres,"MF,FW",Osasuna,33-008,2,2
Lucas Torró,MF,Osasuna,27-239,1,0
Jordan Torunarigha,DF,Hertha BSC,24-220,0,1
Cenk Tosun,FW,Everton,30-281,0,0
Abdoulaye Touré,MF,Genoa,28-012,0,0
Almamy Touré,DF,Eint Frankfurt,25-321,0,0
Lucas Tousart,MF,Hertha BSC,24-320,0,0
Yoann Touzghar,FW,Troyes,35-107,3,0
Andros Townsend,MF,Everton,30-242,3,2
Adama Traoré,FW,Barcelona,26-049,1,2
Amadou Traore,FW,Bordeaux,20-008,0,0
Bertrand Traoré,"MF,FW",Aston Villa,26-190,0,0
Boubacar Traoré,MF,Metz,20-207,1,0
Charles Traore,DF,Nantes,30-073,0,0
Hamari Traoré,DF,Rennes,30-047,1,6
Ismaël Traoré,DF,Angers,35-209,3,0
Kevin Trapp,GK,Eint Frankfurt,31-250,0,0
Miguel Trauco,DF,Saint-Étienne,29-202,1,0
Óscar Trejo,MF,Rayo Vallecano,33-323,3,9
Trézéguet,FW,Aston Villa,27-165,0,0
Manu Trigueros,"MF,FW",Villarreal,30-149,5,4
Simone Trimboli,MF,Sampdoria,19-330,0,0
Christopher Trimmel,DF,Union Berlin,35-019,1,0
Francisco Trincão,"FW,MF",Wolves,22-076,0,0
Kieran Trippier,DF,Newcastle Utd,31-177,2,0
William Troost-Ekong,DF,Watford,28-195,0,0
Leandro Trossard,"FW,MF",Brighton,27-101,4,1
Adrien Truffert,DF,Rennes,20-115,3,1
Kostas Tsimikas,DF,Liverpool,25-307,0,2
Axel Tuanzebe,DF,Aston Villa,24-121,0,0
Ozan Tufan,MF,Watford,26-357,0,0
Beñat Turrientes,MF,Real Sociedad,20-043,0,0
Tuta,DF,Eint Frankfurt,22-254,3,0
Christos Tzolis,"FW,MF",Norwich City,20-044,0,0
Iyenoma Udogie,DF,Udinese,19-107,2,1
Matthieu Udol,DF,Metz,25-360,1,0
Ike Ugbo,FW,Troyes,23-175,2,0
Chimuanya Ugochukwu,MF,Rennes,17-354,1,0
Hwang Ui-jo,FW,Bordeaux,29-199,10,2
Anthony Ujah,FW,Union Berlin,31-152,0,0
Maximilian Ullmann,DF,Venezia,25-271,0,0
Sven Ulreich,GK,Bayern Munich,33-224,0,0
Samuel Umtiti,DF,Barcelona,28-121,0,0
Enes Ünal,FW,Getafe,24-309,13,0
Cengiz Ünder,"FW,MF",Marseille,24-244,8,1
Dayot Upamecano,DF,Bayern Munich,23-139,1,4
Benjamin Uphoff,GK,Freiburg,28-219,0,0
Jere Uronen,DF,Brest,27-245,0,0
Mark Uth,"FW,MF",Köln,30-203,3,3
Myrto Uzuni,"MF,FW",Granada,26-288,0,0
Antonio Vacca,MF,Venezia,31-306,0,0
Álvaro Vadillo,"MF,DF",Espanyol,27-184,0,0
Óscar Valentín,MF,Rayo Vallecano,27-207,0,0
Germán Valera,"FW,MF",Real Sociedad,19-364,0,0
Yan Valery,DF,Southampton,23-021,0,0
Martin Valjent,DF,Mallorca,26-094,0,0
Jesús Vallejo,DF,Real Madrid,25-069,0,0
Manu Vallejo,"FW,MF",Alavés,25-029,0,0
Federico Valverde,MF,Real Madrid,23-236,0,1
Vanderson,"DF,MF",Monaco,20-267,1,0
Zinho Vanheusden,DF,Genoa,22-229,0,0
Jonathan Varane,MF,Lens,20-187,0,0
Raphaël Varane,DF,Manchester Utd,28-324,0,1
Jamie Vardy,FW,Leicester City,35-063,10,2
Ruben Vargas,"MF,FW",Augsburg,23-222,0,3
Sebastian Vasiliadis,MF,Arminia,24-162,0,0
Johan Vásquez,DF,Genoa,23-144,1,0
Denis Vavro,DF,Lazio,25-339,0,0
José Luis García Vayá,MF,Levante,23-216,0,0
Jesus Vazquez,"DF,MF",Valencia,19-072,0,0
Kevin Vázquez,DF,Celta Vigo,28-357,0,1
Lucas Vázquez,DF,Real Madrid,30-257,1,0
Matías Vecino,MF,Inter,30-203,1,0
Gabriel Veiga,"MF,FW",Celta Vigo,19-292,0,0
Miguel Veloso,MF,Hellas Verona,35-308,0,2
Joël Veltman,DF,Brighton,30-059,0,1
Mickey van de Ven,DF,Wolfsburg,20-330,0,0
Unai Vencedor Paris,MF,Athletic Club,21-120,0,0
Lorenzo Venuti,DF,Fiorentina,26-337,0,0
Daniele Verde,"FW,MF",Spezia,25-268,5,2
Simone Verdi,"FW,MF",Torino,29-246,3,0
Gonzalo Verdú,DF,Elche,33-145,0,0
Jordan Veretout,MF,Roma,29-014,4,6
Edoardo Vergani,"FW,MF",Salernitana,21-037,0,0
Marco Verratti,MF,Paris S-G,29-130,2,1
Valerio Verre,"MF,FW",Sampdoria,28-063,0,0
Freddie Veseli,DF,Salernitana,29-115,0,0
Mikel Vesga,MF,Athletic Club,28-298,1,0
Jannik Vestergaard,DF,Leicester City,29-224,0,0
Rúben Vezo,DF,Levante,27-324,0,0
Guglielmo Vicario,GK,Empoli,25-159,0,0
Aleix Vidal,"DF,MF",Espanyol,32-206,2,0
Arturo Vidal,MF,Inter,34-297,1,1
Nacho Vidal,DF,Osasuna,27-050,0,1
Ronaldo Vieira,"MF,FW",Sampdoria,23-239,0,0
Nick Viergever,DF,Greuther Fürth,32-224,0,0
Luca Vignali,DF,Spezia,26-063,0,0
Emanuel Vignato,"MF,DF",Bologna,21-203,0,0
Dídac Vilà,DF,Espanyol,32-279,0,0
Tonny Vilhena,"FW,MF",Espanyol,27-071,1,1
Asier Villalibre,FW,Athletic Club,24-166,0,0
Gonzalo Villar,MF,Getafe,23-357,0,0
Matías Viña,DF,Roma,24-126,0,1
Nicolas Viola,MF,Bologna,32-154,0,0
Mattia Viti,DF,Empoli,20-050,0,0
Vitolo,"MF,FW",Getafe,32-133,0,0
Daniel Vivian,DF,Athletic Club,22-243,2,1
Dušan Vlahović,FW,Fiorentina,22-046,20,2
Nikola Vlašić,"FW,MF",West Ham,24-162,1,0
Andreas Voglsammer,FW,Union Berlin,30-065,2,1
Kevin Vogt,DF,Hoffenheim,30-173,0,2
Mërgim Vojvoda,DF,Torino,27-042,0,0
Kevin Volland,"FW,MF",Monaco,29-228,5,5
Cristian Volpato,MF,Roma,18-120,1,0
Aster Vranckx,MF,Wolfsburg,19-162,2,0
Stefan de Vrij,DF,Inter,30-038,0,0
