1_Player,2_Nation,3_Pos,4_Squad,5_Age,6_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,32_Matches
Carlos Clerc,es ESP,DF,Levante,30-022,1992,19,18,1514,16.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.01,0.04,0.06,0.01,0.06,Matches
Coke,es ESP,"DF,MF",Levante,34-323,1987,4,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
Álex Collado,es ESP,"MF,FW",Granada,22-327,1999,8,5,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.07,0.05,0.12,0.07,0.12,Matches
Eray Cömert,ch SUI,DF,Valencia,24-039,1998,5,3,246,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
Santi Comesaña,es ESP,MF,Rayo Vallecano,25-161,1996,26,24,2074,23.0,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,2.9,2.9,1.7,4.6,0.13,0.07,0.20,0.13,0.20,Matches
Diego Conde,es ESP,GK,Getafe,23-138,1998,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Francis Coquelin,fr FRA,MF,Villarreal,30-306,1991,15,6,592,6.6,1,1,1,0,0,2,0,0.15,0.15,0.30,0.15,0.30,0.2,0.2,0.5,0.7,0.03,0.08,0.11,0.03,0.11,Matches
Jesús Corona,mx MEX,"FW,DF",Sevilla,29-068,1993,8,5,509,5.7,0,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.5,0.5,0.8,1.3,0.09,0.15,0.24,0.09,0.24,Matches
Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,27-006,1995,28,18,1535,17.1,11,5,11,0,0,3,0,0.64,0.29,0.94,0.64,0.94,5.6,5.6,3.4,9.0,0.33,0.20,0.53,0.33,0.53,Matches
Thierry Correia,pt POR,DF,Valencia,23-006,1999,11,10,790,8.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.07,0.07,0.00,0.07,Matches
Hélder Costa,ao ANG,"MF,FW",Valencia,28-062,1994,18,11,954,10.6,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.7,2.0,0.03,0.16,0.19,0.03,0.19,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Jaume Costa,es ESP,DF,Mallorca,33-362,1988,18,14,1298,14.4,0,3,0,0,0,4,1,0.00,0.21,0.21,0.00,0.21,0.5,0.5,1.8,2.3,0.04,0.13,0.16,0.04,0.16,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,29-308,1992,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Philippe Coutinho,br BRA,"MF,FW",Barcelona,29-276,1992,12,5,503,5.6,2,0,1,1,1,1,0,0.36,0.00,0.36,0.18,0.18,2.8,2.0,0.3,2.4,0.50,0.06,0.56,0.36,0.42,Matches
Cristo,es ESP,DF,Real Sociedad,21-319,2000,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.39,0.42,0.03,0.42,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,29-230,1992,17,16,1443,16.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matches
Marc Cucurella,es ESP,"FW,DF",Getafe,23-236,1998,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.22,0.23,0.45,0.22,0.45,Matches
Jorge Cuenca,es ESP,DF,Getafe,22-118,1999,24,23,1998,22.2,1,0,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,0.5,0.5,0.1,0.6,0.02,0.00,0.03,0.02,0.03,Matches
Matheus Cunha,br BRA,FW,Atlético Madrid,22-292,1999,20,5,652,7.2,5,2,5,0,0,3,0,0.69,0.28,0.97,0.69,0.97,3.6,3.6,1.4,5.1,0.50,0.20,0.70,0.50,0.70,Matches
Sergi Darder,es ESP,MF,Espanyol,28-083,1993,26,26,2225,24.7,3,6,3,0,0,2,0,0.12,0.24,0.36,0.12,0.36,2.3,2.3,3.5,5.8,0.09,0.14,0.24,0.09,0.24,Matches
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27-295,1994,26,18,1591,17.7,1,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,0.9,0.9,2.7,3.5,0.05,0.15,0.20,0.05,0.20,Matches
Thomas Delaney,dk DEN,MF,Sevilla,30-193,1991,19,11,1094,12.2,2,1,2,0,0,4,1,0.16,0.08,0.25,0.16,0.25,1.0,1.0,0.4,1.4,0.08,0.03,0.12,0.08,0.12,Matches
Ousmane Dembélé,fr FRA,"FW,DF",Barcelona,24-304,1997,11,7,675,7.5,1,7,1,0,0,1,0,0.13,0.93,1.07,0.13,1.07,1.1,1.1,4.4,5.5,0.15,0.59,0.74,0.15,0.74,Matches
Yusuf Demir,at AUT,FW,Barcelona,18-286,2003,6,2,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Memphis Depay,nl NED,FW,Barcelona,28-030,1994,19,15,1422,15.8,10,2,6,4,5,3,0,0.63,0.13,0.76,0.38,0.51,9.8,6.0,3.5,9.5,0.62,0.22,0.84,0.38,0.60,Matches
Sergiño Dest,us USA,"DF,FW",Barcelona,21-132,2000,18,15,1353,15.0,0,3,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,1.5,1.5,2.7,4.2,0.10,0.18,0.28,0.10,0.28,Matches
Boulaye Dia,sn SEN,FW,Villarreal,25-119,1996,19,9,938,10.4,5,4,5,0,0,2,0,0.48,0.38,0.86,0.48,0.86,4.4,4.4,1.3,5.8,0.42,0.13,0.55,0.42,0.55,Matches
Mouctar Diakhaby,fr FRA,DF,Valencia,25-086,1996,22,14,1376,15.3,0,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
Javier Díaz,es ESP,GK,Sevilla,24-304,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Víctor Díaz,es ESP,DF,Granada,33-276,1988,15,11,947,10.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.05,0.01,0.06,0.05,0.06,Matches
Landry Dimata,be BEL,"FW,MF",Espanyol,24-195,1997,16,4,524,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.6,0.23,0.04,0.27,0.23,0.27,Matches
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28-080,1993,21,20,1872,20.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Matías Dituro,ar ARG,GK,Celta Vigo,34-311,1987,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Djené,tg TOG,DF,Getafe,30-074,1991,26,26,2305,25.6,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,22-112,1999,5,1,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.09,0.02,0.11,0.09,0.11,Matches
Marko Dmitrović,rs SRB,GK,Sevilla,30-050,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Jaume Doménech,es ESP,GK,Valencia,31-130,1990,3,2,253,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Dominguez,es ESP,DF,Celta Vigo,21-073,2001,5,3,301,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches
Domingos Duarte,pt POR,DF,Granada,27-005,1995,12,10,896,10.0,1,0,1,0,0,4,1,0.10,0.00,0.10,0.10,0.10,0.4,0.4,0.0,0.4,0.04,0.00,0.04,0.04,0.04,Matches
Óscar Duarte,cr CRC,DF,Levante,32-285,1989,18,17,1438,16.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.8,0.04,0.02,0.05,0.04,0.05,Matches
Rubén Duarte,es ESP,DF,Alavés,26-148,1995,25,24,2058,22.9,0,3,0,0,0,10,1,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.3,1.8,0.02,0.06,0.08,0.02,0.08,Matches
Unai Dufur,es ESP,DF,Osasuna,23-073,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
Hugo Duro,es ESP,"DF,MF",Getafe,22-125,1999,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.84,0.00,0.84,0.84,0.84,Matches
Hugo Duro,es ESP,"FW,MF",Valencia,22-125,1999,24,18,1494,16.6,6,1,6,0,0,2,1,0.36,0.06,0.42,0.36,0.42,3.6,3.6,0.7,4.3,0.22,0.04,0.26,0.22,0.26,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,27-352,1994,24,19,1774,19.7,4,1,4,0,0,3,1,0.20,0.05,0.25,0.20,0.25,1.9,1.9,0.2,2.1,0.10,0.01,0.11,0.10,0.11,Matches
Adri Embarba,es ESP,"MF,FW",Espanyol,29-312,1992,25,20,1651,18.3,0,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,2.8,2.8,2.2,5.0,0.15,0.12,0.27,0.15,0.27,Matches
Emerson,br BRA,DF,Barcelona,23-060,1999,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Youssef En-Nesyri,ma MAR,FW,Sevilla,24-287,1997,14,9,768,8.5,3,1,2,1,1,0,0,0.35,0.12,0.47,0.23,0.35,3.8,3.0,1.2,4.2,0.44,0.14,0.59,0.36,0.50,Matches
Gonzalo Escalante,ar ARG,MF,Alavés,28-353,1993,9,7,641,7.1,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.0,0.9,0.12,0.00,0.13,0.12,0.13,Matches
Aarón Escandell,es ESP,GK,Granada,26-169,1995,4,3,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Escudero,es ESP,"DF,MF",Granada,32-194,1989,18,6,649,7.2,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.9,0.9,1.0,1.9,0.12,0.14,0.26,0.12,0.26,Matches
Alfonso Espino,uy URU,DF,Cádiz,30-069,1992,27,27,2429,27.0,2,2,2,0,0,5,0,0.07,0.07,0.15,0.07,0.15,0.9,0.7,3.2,3.9,0.03,0.12,0.15,0.02,0.14,Matches
Estanis,es ESP,FW,Barcelona,18-203,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Pervis Estupiñán,ec ECU,DF,Villarreal,24-053,1998,22,14,1268,14.1,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.7,2.2,0.04,0.12,0.16,0.04,0.16,Matches
Abdessamad Ezzalzouli,ma MAR,"FW,DF",Barcelona,20-088,2001,10,6,580,6.4,1,0,1,0,0,4,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,0.6,1.9,0.20,0.09,0.29,0.20,0.29,Matches
Radamel Falcao,co COL,FW,Rayo Vallecano,36-033,1986,17,7,666,7.4,5,0,5,0,0,1,0,0.68,0.00,0.68,0.68,0.68,2.9,2.9,0.2,3.1,0.39,0.02,0.42,0.39,0.42,Matches
Fali,es ESP,"DF,MF",Cádiz,28-215,1993,21,18,1359,15.1,0,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches
Ansu Fati,es ESP,FW,Barcelona,19-135,2002,5,3,213,2.4,3,0,3,0,0,0,0,1.27,0.00,1.27,1.27,1.27,1.0,1.0,0.7,1.7,0.44,0.29,0.74,0.44,0.74,Matches
Aleix Febas,es ESP,MF,Mallorca,26-041,1996,4,1,117,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matches
Nabil Fekir,fr FRA,MF,Betis,28-240,1993,26,25,2147,23.9,6,6,6,0,0,7,1,0.25,0.25,0.50,0.25,0.50,4.2,4.2,5.9,10.1,0.18,0.25,0.42,0.18,0.42,Matches
Felipe,br BRA,DF,Atlético Madrid,32-303,1989,18,12,1202,13.4,2,1,2,0,0,4,1,0.15,0.07,0.22,0.15,0.22,0.9,0.9,0.4,1.3,0.07,0.03,0.10,0.07,0.10,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
João Félix,pt POR,"FW,MF",Atlético Madrid,22-125,1999,20,10,1036,11.5,6,3,6,0,0,3,1,0.52,0.26,0.78,0.52,0.78,3.9,3.9,1.9,5.8,0.34,0.16,0.50,0.34,0.50,Matches
Aitor Fernández,es ESP,GK,Levante,30-316,1991,13,13,1166,13.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Álex Fernández,es ESP,MF,Cádiz,29-151,1992,24,16,1508,16.8,3,1,2,1,2,2,0,0.18,0.06,0.24,0.12,0.18,2.4,0.9,0.6,1.5,0.14,0.03,0.18,0.05,0.09,Matches
Fernando,br BRA,"MF,DF",Sevilla,34-233,1987,24,21,1850,20.6,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.6,0.6,0.3,0.9,0.03,0.01,0.04,0.03,0.04,Matches
Fidel,es ESP,MF,Elche,32-139,1989,24,22,1737,19.3,5,3,4,1,1,7,0,0.26,0.16,0.41,0.21,0.36,2.3,1.5,3.4,4.9,0.12,0.17,0.29,0.08,0.25,Matches
José Fontán,es ESP,DF,Celta Vigo,22-032,2000,5,2,178,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.06,0.02,0.08,0.06,0.08,Matches
Dimitri Foulquier,fr FRA,DF,Granada,28-357,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
Dimitri Foulquier,fr FRA,DF,Valencia,28-357,1993,21,19,1739,19.3,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.4,1.0,0.04,0.02,0.05,0.04,0.05,Matches
Juan Foyth,ar ARG,DF,Villarreal,24-062,1998,18,17,1468,16.3,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.4,1.4,0.00,0.09,0.09,0.00,0.09,Matches
Enric Franquesa,es ESP,DF,Levante,25-017,1997,14,5,573,6.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
Jorge de Frutos,es ESP,"MF,FW",Levante,25-023,1997,25,20,1760,19.6,4,7,4,0,0,4,0,0.20,0.36,0.56,0.20,0.56,5.9,5.9,3.3,9.2,0.30,0.17,0.47,0.30,0.47,Matches
Javi Galán,es ESP,DF,Celta Vigo,27-116,1994,28,28,2488,27.6,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.0,1.3,0.01,0.04,0.05,0.01,0.05,Matches
Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,28-221,1993,22,17,1378,15.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07,Matches
Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,32-238,1989,22,4,676,7.5,1,1,1,0,0,3,0,0.13,0.13,0.27,0.13,0.27,1.6,1.6,1.5,3.1,0.21,0.20,0.41,0.21,0.41,Matches
Álvaro García,es ESP,"FW,MF",Rayo Vallecano,29-139,1992,25,23,2027,22.5,5,2,5,0,0,5,0,0.22,0.09,0.31,0.22,0.31,5.4,5.4,3.3,8.7,0.24,0.15,0.39,0.24,0.39,Matches
Dani García,es ESP,MF,Athletic Club,31-295,1990,25,22,1808,20.1,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.3,0.04,0.02,0.06,0.04,0.06,Matches
David García,es ESP,DF,Osasuna,28-029,1994,26,26,2295,25.5,4,0,4,0,0,6,0,0.16,0.00,0.16,0.16,0.16,1.0,1.0,0.2,1.2,0.04,0.01,0.05,0.04,0.05,Matches
Eric García,es ESP,DF,Barcelona,21-065,2001,18,17,1420,15.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,Matches
Francisco Garcia,es ESP,DF,Rayo Vallecano,22-213,1999,25,25,2232,24.8,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,1.0,1.7,0.03,0.04,0.07,0.03,0.07,Matches
Joan García,es ESP,GK,Espanyol,20-315,2001,2,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manu García,es ESP,MF,Alavés,24-072,1998,19,7,749,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.02,0.09,0.11,0.02,0.11,Matches
Raúl García,es ESP,FW,Athletic Club,35-247,1986,25,18,1369,15.2,4,1,4,0,1,2,0,0.26,0.07,0.33,0.26,0.33,4.5,3.8,2.3,6.1,0.30,0.15,0.45,0.25,0.40,Matches
Rubén García,es ESP,"MF,FW",Osasuna,28-244,1993,27,24,1897,21.1,1,3,1,0,1,1,0,0.05,0.14,0.19,0.05,0.19,2.1,1.4,2.1,3.5,0.10,0.10,0.20,0.07,0.17,Matches
Saúl García,es ESP,FW,Alavés,27-126,1994,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Unai García,es ESP,DF,Osasuna,30-040,1992,16,13,1228,13.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mario Gaspar,es ESP,DF,Villarreal,31-111,1990,7,4,362,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.05,0.14,0.18,0.05,0.18,Matches
Óscar Gil,es ESP,DF,Espanyol,24-323,1997,18,16,1390,15.4,0,2,0,0,0,6,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,2.3,2.6,0.02,0.15,0.17,0.02,0.17,Matches
Dani Gómez,es ESP,FW,Levante,23-228,1998,20,6,650,7.2,3,2,3,0,0,1,0,0.42,0.28,0.69,0.42,0.69,2.8,2.8,1.5,4.3,0.38,0.21,0.59,0.38,0.59,Matches
Maxi Gómez,uy URU,FW,Valencia,25-213,1996,22,16,1504,16.7,3,1,3,0,0,7,1,0.18,0.06,0.24,0.18,0.24,3.0,3.0,1.8,4.8,0.18,0.11,0.29,0.18,0.29,Matches
Moi Gómez,es ESP,"MF,FW",Villarreal,27-265,1994,23,9,985,10.9,1,2,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,2.4,2.4,1.7,4.1,0.22,0.15,0.37,0.22,0.37,Matches
Papu Gómez,ar ARG,"FW,MF",Sevilla,34-028,1988,21,13,1298,14.4,4,1,4,0,0,2,0,0.28,0.07,0.35,0.28,0.35,1.6,1.5,1.0,2.5,0.11,0.07,0.18,0.10,0.18,Matches
Sergi Gómez,es ESP,DF,Espanyol,29-352,1992,25,25,2191,24.3,1,2,1,0,0,1,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,0.8,1.6,0.03,0.03,0.07,0.03,0.07,Matches
Maxime Gonalons,fr FRA,MF,Granada,33-005,1989,19,17,1256,14.0,0,1,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.7,1.1,0.02,0.05,0.07,0.02,0.07,Matches
Diego González,es ESP,DF,Elche,27-046,1995,21,14,1313,14.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.01,0.00,0.02,0.01,0.02,Matches
Édgar González,es ESP,DF,Betis,24-348,1997,19,13,1364,15.2,1,1,1,0,0,6,0,0.07,0.07,0.13,0.07,0.13,0.8,0.8,0.6,1.5,0.06,0.04,0.10,0.06,0.10,Matches
Giovanni González,uy URU,DF,Mallorca,27-176,1994,4,1,107,1.2,1,0,1,0,0,0,0,0.84,0.00,0.84,0.84,0.84,0.5,0.5,0.1,0.6,0.43,0.06,0.49,0.43,0.49,Matches
Nicolás González,es ESP,MF,Barcelona,20-071,2002,23,11,1022,11.4,2,1,2,0,0,5,0,0.18,0.09,0.26,0.18,0.26,1.4,1.4,1.2,2.6,0.12,0.11,0.23,0.12,0.23,Matches
Peter González,do DOM,"DF,FW",Real Madrid,19-233,2002,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,1.66,2.15,3.81,1.66,3.81,Matches
Roberto González,es ESP,"FW,MF",Betis,21-068,2001,4,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.10,0.00,0.10,0.10,0.10,Matches
Gori,es ESP,MF,Espanyol,19-304,2002,1,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Andoni Gorosabel,es ESP,DF,Real Sociedad,25-223,1996,22,19,1704,18.9,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.4,1.6,0.01,0.08,0.08,0.01,0.08,Matches
Jaume Grau,es ESP,MF,Osasuna,24-314,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Dominik Greif,sk SVK,GK,Mallorca,24-343,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Clément Grenier,fr FRA,MF,Mallorca,31-067,1991,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Antoine Griezmann,fr FRA,FW,Barcelona,30-359,1991,3,3,263,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12,Matches
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,30-359,1991,16,13,1027,11.4,3,2,3,0,0,2,0,0.26,0.18,0.44,0.26,0.44,2.6,2.6,2.1,4.7,0.23,0.18,0.41,0.23,0.41,Matches
Arnaut Groeneveld,nl NED,FW,Villarreal,25-043,1997,18,15,1222,13.6,8,3,6,2,2,1,0,0.59,0.22,0.81,0.44,0.66,10.3,8.7,1.7,10.4,0.76,0.12,0.88,0.64,0.77,Matches
Andrés Guardado,mx MEX,MF,Betis,35-168,1986,22,13,1114,12.4,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.7,0.7,0.5,1.2,0.06,0.04,0.09,0.06,0.09,Matches
Sergi Guardiola,es ESP,FW,Rayo Vallecano,30-290,1991,22,12,1057,11.7,3,2,3,0,0,2,0,0.26,0.17,0.43,0.26,0.43,4.7,4.7,0.9,5.6,0.40,0.07,0.48,0.40,0.48,Matches
Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,30-119,1991,14,5,653,7.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Gonçalo Guedes,pt POR,"FW,MF",Valencia,25-106,1996,27,25,2095,23.3,10,5,9,1,2,2,0,0.43,0.21,0.64,0.39,0.60,5.7,4.1,3.5,7.5,0.24,0.15,0.39,0.17,0.32,Matches
Ander Guevara,es ESP,MF,Real Sociedad,24-251,1997,15,11,851,9.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matches
